nohup: ignoring input
第0个epoch:
第0个epoch:
tensor(1.3369, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2991, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2791, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3334, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2153, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3156, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1639, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2146, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1607, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2122, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1965, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2222, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2497, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2239, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2242, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2472, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2305, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3819, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1849, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3582, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3097, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1782, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2842, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3138, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1701, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1693, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1260, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4464, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1936, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1708, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3170, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2578, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3198, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2713, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2076, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3707, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1069, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1796, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3390, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1455, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3610, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2265, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1571, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.4104, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2868, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2196, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2359, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2162, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2689, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3387, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1609, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1761, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1628, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1610, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3240, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1791, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2643, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2516, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1602, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1536, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1956, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2990, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2604, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.3267, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2712, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1656, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1998, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2584, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.2340, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2091, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.3257, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2665, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1972, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.1140, device='cuda:1', grad_fn=<DivBackward0>)
tensor(1.1403, device='cuda:0', grad_fn=<DivBackward0>)
tensor(1.2267, device='cuda:1', grad_fn=<DivBackward0>)
